id,accuracy_rating,allows_infants,allows_pets,available_30,avg_rating,bathrooms,bedroom_label,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,guest_overall_satisfaction,host_verified,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latest_review,latitude,listing_url,localized_city,localized_neighborhood,location_rating,longitude,max_nights,min_nights,monthly_price_factor,neighborhood,p3_summary_address,p3_summary_title,person_capacity,picture_count,preview_amenities,price_night,price_string,property_type_id,rate_type,requires_license,response_rate,response_time,review_count,review_score,reviews_count,room_and_property_type,room_type,room_type_category,self_checkin,space_type,star_rating,value_rating,visible_review_count,weekly_price_factor,extra_people,security,amenities,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance
38669174,,False,False,,4.92,1.0,1 bedroom,1.0,2.0,True,CANCEL_FLEXIBLE,,Helsingfors,0,,,,False,False,False,True,Shared room,,60.161719999999995,https://www.airbnb.com/api/v2/pdp_listing_details/38669174?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Punavuori,,24.9411,8,1,0.87,Punavuori,"Helsingfors, Finland",Welcome to a nice bright place to stay,2,6,"Wifi,Kitchen,Heating",,$58,1.0,nightly,False,,,0.0,,26,Shared room in apartment,Shared room,shared_room,,Shared room,5.0,,0.0,0.87,27,0,"Elevator, Wifi, Kitchen, Breakfast, Hair dryer, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Game console, Room-darkening shades, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Oven, Stove, Cleaning before checkout, Luggage dropoff allowed, Beachfront, Waterfront, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18400611,,False,False,,4.89,1.0,Studio,0.0,3.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,0,,,,False,False,False,True,Entire apartment,,60.22676,https://www.airbnb.com/api/v2/pdp_listing_details/18400611?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,,24.96102,360,1,0.85,,"Helsingfors, Finland",Welcome to a nice bright place to stay,3,30,"Wifi,Free parking,Heating",,$75,1.0,nightly,False,,,0.0,,197,Entire apartment,Entire home/apt,entire_home,,Entire apartment,5.0,,0.0,0.9,22,200,"Free parking on premises, Wifi, Cable TV, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Baby monitor, Changing table, Children’s books and toys, Crib, High chair, Pack ’n Play/travel crib, Room-darkening shades, Free street parking, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Private entrance, Luggage dropoff allowed, Long term stays allowed, Bed linens, Extra pillows and blankets, BBQ grill, Patio or balcony, Garden or backyard, Fire extinguisher, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
39476359,,False,False,,4.91,1.0,1 bedroom,1.0,4.0,True,CANCEL_FLEXIBLE,,Helsinki,14,,,,False,False,False,False,Entire apartment,,60.17898,https://www.airbnb.com/api/v2/pdp_listing_details/39476359?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kruununhaka,,24.95168,1125,1,0.7,Kruununhaka,"Helsingfors, Finland",Welcome to a nice bright place to stay,4,22,"Wifi,Kitchen,Heating",,$99,1.0,nightly,False,,,0.0,,34,Entire apartment,Entire home/apt,entire_home,,Entire apartment,5.0,,0.0,0.8,9,0,"Elevator, Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Ethernet connection, Hot water, Children’s books and toys, Crib, Game console, High chair, Pack ’n Play/travel crib, Room-darkening shades, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Long term stays allowed, Bed linens, Extra pillows and blankets, Shower gel, Fire extinguisher, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
42978180,,False,False,,,1.5,1 bedroom,1.0,1.0,True,CANCEL_FLEXIBLE,,Helsinki,0,,,,False,False,True,False,Entire apartment,,60.17714,https://www.airbnb.com/api/v2/pdp_listing_details/42978180?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,,24.93842,16,1,0.55,,"Helsingfors, Finland",Welcome to a nice bright place to stay,3,5,"Wifi,Kitchen,Free parking,Heating",,$154,47.0,nightly,False,,,0.0,,0,Entire serviced apartment,Entire home/apt,entire_home,,Entire apartment,,,0.0,0.7,0,0,"Free parking on premises, Wifi, Kitchen, Air conditioning, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Babysitter recommendations, Crib, High chair, Room-darkening shades, EV charger, Paid parking off premises, Paid parking on premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Baking sheet, Luggage dropoff allowed, Long term stays allowed, Bed linens, Shower gel, Patio or balcony, Beachfront, Fire extinguisher, Carbon monoxide alarm, Smoke alarm",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
35584843,,False,False,,4.64,1.0,Studio,0.0,1.0,False,CANCEL_MODERATE,,Helsinki,12,,,,False,False,False,False,Entire apartment,,60.16089,https://www.airbnb.com/api/v2/pdp_listing_details/35584843?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Punavuori,,24.9376,7,1,1.0,Punavuori,"Helsingfors, Finland",Welcome to a nice bright place to stay,2,12,"Wifi,Kitchen,Heating",,$85,1.0,nightly,False,,,0.0,,67,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5,,0.0,0.95,0,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Pocket wifi, Paid parking off premises, Single level home, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Stove, Lockbox, Bed linens, Garden or backyard, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
35680811,,False,False,,4.16,1.0,Studio,0.0,1.0,True,CANCEL_MODERATE,,Helsinki,16,,,,False,False,False,False,Entire apartment,,60.15764,https://www.airbnb.com/api/v2/pdp_listing_details/35680811?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Ullanlinna,,24.95218,1125,1,0.0,Ullanlinna,"Helsingfors, Finland",Welcome to a nice bright place to stay,4,5,"Wifi,Heating",,$76,1.0,nightly,False,,,0.0,,69,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.0,,0.0,0.9,11,0,"Wifi, Hair dryer, Shampoo, Hangers, Heating, Essentials, Laptop-friendly workspace",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22982896,,False,False,,4.89,1.0,1 bedroom,1.0,1.0,False,CANCEL_FLEXIBLE,,Helsingfors,5,,,,False,False,False,True,Private room,,60.26545,https://www.airbnb.com/api/v2/pdp_listing_details/22982896?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,,,25.02617,7,1,0.0,,"Helsingfors, Finland",Welcome to a nice bright place to stay,2,37,"Wifi,Kitchen,Free parking,Heating",,$51,1.0,nightly,False,,,0.0,,214,Private room in apartment,Private room,private_room,,Private room,5.0,,0.0,0.0,0,0,"Free parking on premises, Wifi, Kitchen, Air conditioning, Hair dryer, Iron, Shampoo, TV, Hangers, Heating, Essentials, Laptop-friendly workspace, Ethernet connection, Hot water, Coffee maker, Dishes and silverware, Bed linens, Extra pillows and blankets, Fire extinguisher, Smoke alarm",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
33630332,,False,False,,4.03,1.0,Studio,0.0,1.0,True,CANCEL_MODERATE,,Helsinki,17,,,,False,False,False,False,Entire apartment,,60.15948,https://www.airbnb.com/api/v2/pdp_listing_details/33630332?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Punavuori,,24.9395,1125,1,0.0,Punavuori,"Helsingfors, Finland",Welcome to a nice bright place to stay,2,8,"Wifi,Kitchen",,$78,1.0,nightly,False,,,0.0,,72,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.0,,0.0,0.0,0,0,"Elevator, Wifi, Kitchen, Shampoo, Hangers, Essentials, Laptop-friendly workspace, Hot water, Paid parking off premises, Free street parking, Cooking basics, Dishes and silverware, Dishwasher, Refrigerator, Oven, Stove, Luggage dropoff allowed, Smoke alarm",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
42960124,,False,False,,,1.0,1 bedroom,1.0,,True,CANCEL_FLEXIBLE,,Helsingfors,0,,,,False,False,True,False,Private room,,60.19986,https://www.airbnb.com/api/v2/pdp_listing_details/42960124?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Taka-Töölö,,24.93848,1125,1,0.0,Taka-Töölö,"Helsingfors, Finland",Welcome to a nice bright place to stay,2,9,"Wifi,Kitchen,Free parking,Heating",,$26,40.0,nightly,False,,,0.0,,0,Private room in guesthouse,Private room,private_room,,Private room,,,0.0,0.0,0,0,"Free parking on premises, Gym, Wifi, Kitchen, Breakfast, Indoor fireplace, Air conditioning, Dryer, Hair dryer, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Lock on bedroom door, Fire extinguisher, Carbon monoxide alarm, Smoke alarm, First aid kit",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
12068779,,False,False,,4.6,1.0,1 bedroom,1.0,1.0,True,CANCEL_MODERATE,,Helsinki,22,,,,False,False,False,False,Private room,,60.16628000000001,https://www.airbnb.com/api/v2/pdp_listing_details/12068779?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Punavuori,,24.94315,20,1,1.0,Punavuori,"Helsingfors, Finland",Welcome to a nice bright place to stay,1,15,"Wifi,Kitchen,Heating",,$79,1.0,nightly,False,,,0.0,,200,Private room in apartment,Private room,private_room,,Private room,4.5,,0.0,0.89,0,217,"Elevator, Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Host greets you, Bed linens, Extra pillows and blankets, Shower gel, Fire extinguisher, Smoke alarm",0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
41139203,,False,False,,3.54,1.5,Studio,0.0,2.0,True,CANCEL_MODERATE,,Helsinki,11,,,,False,False,False,False,Entire apartment,,60.1687,https://www.airbnb.com/api/v2/pdp_listing_details/41139203?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kamppi,,24.937479999999997,1125,1,0.0,Kamppi,"Helsingfors, Finland",Welcome to a nice bright place to stay,3,7,"Wifi,Kitchen,Heating",,$77,1.0,nightly,False,,,0.0,,14,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.5,,0.0,0.9,5,0,"Wifi, Kitchen, Hair dryer, Shampoo, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Dishes and silverware, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30981155,,False,False,,4.85,1.0,Studio,0.0,2.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,33,,,,False,False,False,True,Entire apartment,,60.172169999999994,https://www.airbnb.com/api/v2/pdp_listing_details/30981155?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kluuvi,,24.945,1125,1,0.85,Kluuvi,"Helsingfors, Finland",Welcome to a nice bright place to stay,2,5,"Hosted by a business,Wifi,Kitchen,Heating",,$88,1.0,nightly,False,,,0.0,,40,Entire apartment,Entire home/apt,entire_home,,Entire apartment,5.0,,0.0,0.9,16,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Stove, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20648483,,False,False,,4.68,1.0,1 bedroom,1.0,1.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,0,,,,False,False,False,False,Private room,,60.24037,https://www.airbnb.com/api/v2/pdp_listing_details/20648483?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,,25.09604,1125,1,0.0,,"Helsingfors, Finland",Welcome to a nice bright place to stay,2,6,"Wifi,Kitchen,Free parking,Heating",,$41,1.0,nightly,False,,,0.0,,69,Private room in apartment,Private room,private_room,,Private room,4.5,,0.0,0.98,0,0,"Free parking on premises, Elevator, Wifi, Kitchen, Breakfast, Dryer, Shampoo, TV, Washer, Hangers, Heating, Essentials, Hot water, Coffee maker, Building staff, Smoke alarm",0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14336951,,False,False,,4.5,1.0,1 bedroom,1.0,2.0,True,CANCEL_FLEXIBLE,,Helsinki,22,,,,False,False,False,False,Entire apartment,,60.172219999999996,https://www.airbnb.com/api/v2/pdp_listing_details/14336951?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Etu-Töölö,,24.92843,14,1,0.75,Etu-Töölö,"Helsingfors, Finland",Welcome to a nice bright place to stay,3,10,"Wifi,Kitchen,Heating",,$95,1.0,nightly,False,,,0.0,,121,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5,,0.0,0.85,16,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Host greets you, Smoke alarm",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
