,id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,borough,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,host_days_active,check_in_24h,air_conditioning,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,pets_allowed,private_entrance,self_check_in,time_since_first_review,time_since_last_review
10,387073,within a day,100%,0,4,0,Salford District,House,Entire home/apt,11,2.5,5.0,11.0,90,0,60,1,7,2,30,72,236,80-94/100,9/10,10/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2579.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4+ years,45.0
11,390028,within an hour,100%,0,1,1,Stockport District,House,Private room,1,1.0,1.0,0.0,36,0,0,1,0,2,30,2,40,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2578.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,150.0
12,391046,unknown,unknown,0,1,1,Wigan District,House,Entire home/apt,4,2.5,3.0,2.0,65,400,40,2,19,30,1125,0,26,80-94/100,10/10,9/10,10/10,10/10,9/10,10/10,0,strict_14_with_grace_period,2578.0,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4+ years,647.0
13,411843,within an hour,100%,0,12,0,Hulme,Apartment,Entire home/apt,6,1.0,2.0,3.0,150,250,50,4,15,2,365,13,216,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,1,moderate,2564.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4+ years,50.0
14,412687,within an hour,100%,1,1,1,Trafford District,Apartment,Entire home/apt,2,1.0,1.0,1.0,58,150,0,1,10,2,30,70,272,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2563.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4+ years,49.0
15,554282,within an hour,100%,0,4,1,Trafford District,House,Private room,6,2.0,1.0,1.0,40,150,15,1,20,1,1125,86,104,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,3729.0,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,52.0
16,556920,within a few hours,100%,1,1,0,Ancoats and Clayton,Apartment,Private room,2,1.0,1.0,1.0,36,0,11,1,0,2,150,66,154,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2479.0,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2-3 years,111.0
17,568034,within an hour,100%,1,3,1,Chorlton,House,Private room,2,1.0,1.0,1.0,35,100,0,1,5,1,60,68,330,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2473.0,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4+ years,46.0
18,610613,within an hour,100%,1,3,0,Didsbury West,House,Private room,2,1.0,1.0,1.0,31,0,0,1,8,1,90,54,468,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,2451.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,44.0
19,651097,within an hour,100%,1,1,0,City Centre,Apartment,Private room,2,1.5,1.0,1.0,53,0,0,1,20,2,1125,83,241,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2428.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4+ years,35.0
20,681857,within an hour,100%,0,2,1,Ancoats and Clayton,Apartment,Entire home/apt,4,3.0,2.0,2.0,85,0,20,4,0,1,1125,87,216,80-94/100,9/10,9/10,9/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2408.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4+ years,43.0
21,711322,within an hour,100%,1,3,0,Hulme,House,Private room,1,2.0,1.0,1.0,35,0,10,1,30,1,356,70,28,80-94/100,9/10,9/10,9/10,10/10,9/10,9/10,0,moderate,2446.0,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,149.0
22,711323,within an hour,100%,1,3,0,Trafford District,House,Private room,1,1.0,1.0,0.0,37,0,10,1,30,2,356,89,33,80-94/100,10/10,10/10,10/10,10/10,9/10,9/10,0,flexible,2446.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,57.0
23,725938,within a few hours,100%,1,1,0,Old Moat,Apartment,Entire home/apt,2,1.0,1.0,1.0,55,200,47,1,0,3,89,15,194,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,2708.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4+ years,118.0
24,735851,unknown,unknown,0,2,1,Stockport District,House,Entire home/apt,4,1.5,2.0,6.0,90,0,10,3,10,2,1125,50,65,80-94/100,9/10,9/10,10/10,10/10,9/10,10/10,0,strict_14_with_grace_period,2371.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4+ years,141.0
25,753374,within an hour,100%,1,2,0,Burnage,House,Private room,1,1.5,1.0,1.0,25,0,5,1,10,2,30,64,105,80-94/100,10/10,9/10,10/10,10/10,9/10,10/10,0,flexible,2358.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,73.0
26,754650,within a few hours,50-89%,1,3,0,Salford District,House,Private room,3,1.0,2.0,2.0,30,150,25,1,15,2,180,52,20,80-94/100,10/10,10/10,10/10,10/10,9/10,10/10,0,moderate,2841.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,679.0
