accuracy_rating,allows_infants,allows_pets,avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,host_verified,is_new_listing,is_super_host,latitude,location_rating,longitude,max_nights,min_nights,monthly_price_factor,neighborhood,person_capacity,picture_count,price_string,review_score,reviews_count,room_type,space_type,value_rating,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,geometry
10.0,True,False,4.36,1.0,0.0,2.0,True,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,False,False,False,60.16065,10/10,24.93381,1125,1,0.8,Punavuori,3,8,81,80-94/100,25,Entire home/apt,Entire apartment,9/10,42.0,0.9,5,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,POINT (60.16065 24.93381)
10.0,True,False,4.85,1.5,1.0,2.0,True,CANCEL_MODERATE,9/10,Helsinki,38,9/10,10/10,False,False,True,60.1677,10/10,24.93186,1125,2,0.0,Kamppi,4,19,122,80-94/100,13,Entire home/apt,Entire condominium,9/10,42.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,POINT (60.1677 24.93186)
10.0,True,False,5.0,1.5,1.0,2.0,True,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,False,False,False,60.1883,10/10,24.96263,1125,1,0.85,,2,18,46,80-94/100,4,Entire home/apt,Entire apartment,9/10,42.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,POINT (60.1883 24.96263)
10.0,True,False,0.0,1.5,1.0,2.0,True,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,False,True,False,60.23826,10/10,25.07771,1125,1,1.0,,1,6,26,80-94/100,2,Private room,Private room,9/10,42.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POINT (60.23826 25.07771)
10.0,True,False,4.0,1.0,1.0,1.0,True,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,False,False,False,60.16826999999999,10/10,24.92888,1125,1,1.0,Kamppi,4,13,93,80-94/100,3,Entire home/apt,Entire apartment,9/10,42.0,1.0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,POINT (60.16826999999999 24.92888)
10.0,True,False,4.77,1.0,1.0,2.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsingfors,43,9/10,10/10,False,False,True,60.17026,10/10,24.94564,1124,1,0.85,Kluuvi,4,11,116,80-94/100,22,Entire home/apt,Entire condominium,9/10,42.0,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,POINT (60.17026 24.94564)
10.0,True,False,4.77,0.5,1.0,2.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,15,9/10,10/10,False,False,True,60.1896,10/10,24.94669,120,1,0.72,,2,13,58,80-94/100,105,Private room,Private room,9/10,42.0,0.96,15,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,POINT (60.1896 24.94669)
10.0,True,False,4.88,1.0,0.0,3.0,False,CANCEL_MODERATE,9/10,Helsingfors,22,9/10,10/10,False,False,True,60.17661999999999,10/10,24.92945,1125,1,0.0,Etu-Töölö,4,9,109,80-94/100,130,Entire home/apt,Entire loft,9/10,42.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,POINT (60.17661999999999 24.92945)
10.0,True,False,0.0,1.0,1.0,2.0,True,CANCEL_FLEXIBLE,9/10,Helsingfors,0,9/10,10/10,False,True,False,60.16945,10/10,24.92134,60,1,0.55,Etu-Töölö,2,4,46,80-94/100,0,Private room,Apartment room,9/10,42.0,0.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,POINT (60.16945 24.92134)
10.0,True,False,4.88,1.0,1.0,1.0,True,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,False,False,False,60.22666,10/10,25.06331,1125,1,0.0,,2,9,41,80-94/100,27,Private room,Private room,9/10,42.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,POINT (60.22666 25.06331)
10.0,True,False,4.71,1.0,1.0,2.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,38,10/10,10/10,False,False,False,60.16882,10/10,24.93229,1125,2,0.0,Kamppi,4,12,122,80-94/100,21,Entire home/apt,Entire apartment,9/10,105.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,POINT (60.16882 24.93229)
10.0,True,False,4.95,1.5,1.0,1.0,True,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,False,False,True,60.15691999999999,10/10,24.94251,1125,1,0.8,Ullanlinna,2,16,101,80-94/100,158,Entire home/apt,Entire condominium,9/10,105.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,POINT (60.15691999999999 24.94251)
10.0,True,False,4.68,1.0,0.0,1.0,True,CANCEL_MODERATE,10/10,Helsinki,26,10/10,10/10,False,False,False,60.19519,10/10,24.9601,1124,1,0.74,,2,9,75,80-94/100,606,Entire home/apt,Entire apartment,9/10,105.0,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,POINT (60.19519 24.9601)
10.0,True,False,4.75,1.0,0.0,3.0,True,CANCEL_FLEXIBLE,10/10,Helsinki,14,10/10,10/10,False,False,False,60.17858,10/10,24.95323,1125,1,0.8,Kruununhaka,4,22,95,80-94/100,603,Entire home/apt,Entire apartment,9/10,105.0,0.9,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,POINT (60.17858 24.95323)
10.0,True,False,4.84,1.0,1.0,1.0,False,CANCEL_FLEXIBLE,10/10,Helsinki,0,10/10,10/10,False,False,True,60.21283,10/10,25.15161,1125,1,0.0,,2,6,27,80-94/100,52,Private room,Private room,9/10,105.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POINT (60.21283 25.15161)
10.0,True,False,4.63,1.0,1.0,0.0,True,CANCEL_FLEXIBLE,10/10,Helsinki,4,10/10,10/10,False,False,True,60.20016999999999,10/10,25.11914,28,1,0.0,,3,4,28,80-94/100,8,Private room,Private room,9/10,105.0,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,POINT (60.20016999999999 25.11914)
10.0,True,False,4.74,1.0,1.0,1.0,True,CANCEL_MODERATE,10/10,Helsinki,43,10/10,10/10,False,False,False,60.17283000000001,10/10,24.94356,1125,2,0.0,Kluuvi,4,13,129,80-94/100,27,Entire home/apt,Entire apartment,9/10,105.0,0.0,16,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POINT (60.17283000000001 24.94356)
10.0,True,False,3.98,1.0,1.0,1.0,True,CANCEL_MODERATE,10/10,Helsingfors,20,10/10,10/10,False,False,False,60.15796,10/10,24.94623,1125,1,0.0,,4,6,79,80-94/100,49,Entire home/apt,Entire apartment,9/10,105.0,0.95,11,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,POINT (60.15796 24.94623)
10.0,True,False,0.0,1.5,1.0,1.0,True,CANCEL_MODERATE,10/10,Helsinki,38,10/10,10/10,False,True,False,60.16975,10/10,24.9308,1125,2,0.0,Kamppi,4,16,115,80-94/100,2,Entire home/apt,Entire condominium,9/10,105.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,POINT (60.16975 24.9308)
10.0,True,False,4.78,1.0,0.0,3.0,True,CANCEL_MODERATE,10/10,Helsingfors,16,10/10,10/10,False,False,True,60.1756,10/10,24.92983,1125,1,0.0,Etu-Töölö,3,8,89,80-94/100,113,Entire home/apt,Entire loft,9/10,105.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,POINT (60.1756 24.92983)
10.0,True,False,4.49,1.0,1.0,1.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,5,10/10,10/10,False,False,False,60.23301,10/10,24.99648,1125,1,1.0,,2,11,39,80-94/100,84,Private room,Private room,9/10,105.0,1.0,11,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,POINT (60.23301 24.99648)
10.0,True,False,0.0,1.0,1.0,2.0,True,CANCEL_FLEXIBLE,10/10,Helsingfors,0,10/10,10/10,False,True,False,60.19888,10/10,24.93923,1125,1,0.0,Taka-Töölö,2,6,26,80-94/100,0,Private room,Private room,9/10,105.0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,POINT (60.19888 24.93923)
10.0,True,False,4.84,1.0,1.0,0.0,True,CANCEL_MODERATE,10/10,Helsingfors,27,10/10,10/10,False,False,True,60.16679,10/10,24.92989,1125,1,0.0,Kamppi,4,5,96,80-94/100,128,Entire home/apt,Entire apartment,9/10,105.0,0.9,16,217,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POINT (60.16679 24.92989)
10.0,True,False,0.0,4.0,1.0,2.0,True,CANCEL_FLEXIBLE,10/10,Helsingfors,0,10/10,10/10,False,False,False,60.17853,10/10,24.95962,1125,1,0.0,Kruununhaka,2,17,55,80-94/100,0,Private room,Hostel room,9/10,105.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,POINT (60.17853 24.95962)
10.0,True,False,4.55,0.5,0.0,1.0,True,CANCEL_FLEXIBLE,10/10,Helsinki,11,10/10,10/10,False,False,False,60.16492,10/10,24.93141,1125,1,0.85,Kamppi,3,19,107,80-94/100,326,Entire home/apt,Entire apartment,9/10,105.0,0.9,11,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,POINT (60.16492 24.93141)
10.0,True,False,4.68,1.0,1.0,1.0,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,11,10/10,10/10,False,False,False,60.24803000000001,10/10,25.00458,1125,1,0.9,,2,8,42,80-94/100,102,Private room,Private room,9/10,105.0,0.95,11,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,POINT (60.24803000000001 25.00458)
10.0,True,False,4.96,1.5,0.0,1.0,False,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,False,False,True,60.18223,10/10,24.94775,1125,1,0.72,Kluuvi,2,14,75,80-94/100,26,Entire home/apt,Entire apartment,9/10,105.0,0.87,22,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,POINT (60.18223 24.94775)
10.0,True,False,4.87,1.0,1.0,1.0,True,CANCEL_MODERATE,10/10,Helsingfors,10,10/10,10/10,False,False,True,60.18899999999999,10/10,25.03338,30,1,1.0,,2,11,56,80-94/100,119,Private room,Private room,9/10,105.0,1.0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,POINT (60.18899999999999 25.03338)
10.0,True,False,4.76,1.0,1.0,2.0,False,CANCEL_MODERATE,10/10,Helsinki,11,10/10,10/10,False,False,True,60.21134,10/10,24.96724,31,1,0.8,,3,15,45,95-100/100,33,Private room,Private room,9/10,128.0,0.9,22,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,POINT (60.21134 24.96724)
10.0,True,False,4.81,1.0,1.0,1.0,True,CANCEL_MODERATE,10/10,Helsingfors,27,10/10,10/10,False,False,True,60.15605,10/10,24.9317,1125,1,0.75,Munkkisaari,2,24,109,95-100/100,77,Entire home/apt,Entire condominium,9/10,128.0,0.89,0,217,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,POINT (60.15605 24.9317)
10.0,True,False,4.71,1.0,0.0,2.0,True,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,False,False,False,60.16566,10/10,24.92887,1125,1,0.8,Kamppi,3,9,92,95-100/100,34,Entire home/apt,Entire apartment,9/10,128.0,0.9,5,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,POINT (60.16566 24.92887)
10.0,True,False,4.96,1.0,1.0,3.0,True,CANCEL_FLEXIBLE,10/10,Helsinki,16,10/10,10/10,False,False,True,60.17585,10/10,24.95941,1125,1,0.8,,4,19,114,95-100/100,25,Entire home/apt,Entire apartment,9/10,128.0,0.9,27,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,POINT (60.17585 24.95941)
10.0,True,False,4.62,1.0,1.0,1.0,True,CANCEL_FLEXIBLE,10/10,Helsingfors,0,10/10,10/10,False,False,False,60.20264,10/10,24.91875,30,1,0.75,,1,4,52,95-100/100,37,Private room,Private room,9/10,128.0,0.87,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,POINT (60.20264 24.91875)
10.0,True,False,4.87,1.0,1.0,1.0,True,CANCEL_FLEXIBLE,10/10,Helsinki,4,10/10,10/10,False,False,True,60.20016999999999,10/10,25.11914,28,1,0.0,,3,20,31,95-100/100,54,Private room,Private room,9/10,128.0,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,POINT (60.20016999999999 25.11914)
10.0,True,False,0.0,1.0,1.0,2.0,True,CANCEL_FLEXIBLE,10/10,Helsingfors,0,10/10,10/10,False,True,False,60.19933,10/10,24.93949,1125,1,0.0,Taka-Töölö,2,5,26,95-100/100,0,Private room,Private room,9/10,128.0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POINT (60.19933 24.93949)
10.0,True,False,4.75,1.0,1.0,1.0,True,CANCEL_MODERATE,10/10,Helsinki,12,10/10,10/10,False,False,False,60.1876,10/10,24.95954,10,1,1.0,,3,15,81,95-100/100,197,Entire home/apt,Entire apartment,9/10,128.0,0.95,13,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,POINT (60.1876 24.95954)
10.0,True,False,5.0,1.0,1.0,1.0,True,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,False,False,False,60.17464,10/10,24.91911,1125,1,0.0,Etu-Töölö,4,12,92,95-100/100,3,Entire home/apt,Entire apartment,9/10,128.0,0.0,5,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,POINT (60.17464 24.91911)
10.0,True,False,4.74,1.0,0.0,3.0,True,CANCEL_FLEXIBLE,10/10,Helsinki,11,10/10,10/10,False,False,False,60.1656,10/10,24.93041,1125,1,0.85,Kamppi,4,18,98,95-100/100,434,Entire home/apt,Entire apartment,9/10,128.0,0.9,11,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,POINT (60.1656 24.93041)
10.0,True,False,4.63,1.0,2.0,4.0,True,CANCEL_FLEXIBLE,10/10,Helsinki,38,10/10,10/10,False,False,False,60.17007,10/10,24.92772,150,1,0.7,Etu-Töölö,7,21,135,95-100/100,336,Entire home/apt,Entire apartment,9/10,128.0,0.85,16,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,POINT (60.17007 24.92772)
