,id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,host_days_active,check_in_24h,air_conditioning,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,pets_allowed,private_entrance,self_check_in,time_since_first_review,time_since_last_review
3907,38888652,2017-10-01,within an hour,90-99%,0,162,0,Ancoats and Clayton,Apartment,Entire home/apt,6,2.0,2.0,2.0,80,$150.00,55,3,10,1,1125,56,3,2019-11-10,80-94/100,9/10,10/10,10/10,10/10,9/10,0-8/10,1,strict_14_with_grace_period,555.0,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0-6 months,113.0
3908,38888772,2017-10-01,within an hour,90-99%,0,162,0,Ancoats and Clayton,Apartment,Entire home/apt,7,2.0,2.0,4.0,90,$150.00,55,4,10,1,1125,77,7,2019-11-10,80-94/100,10/10,9/10,9/10,10/10,10/10,9/10,1,strict_14_with_grace_period,555.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0-6 months,51.0
3909,38888903,2017-10-01,within an hour,90-99%,0,162,0,Ancoats and Clayton,Apartment,Entire home/apt,7,2.0,2.0,4.0,90,$150.00,55,3,10,1,1125,71,9,2019-10-06,80-94/100,9/10,9/10,10/10,10/10,10/10,10/10,1,strict_14_with_grace_period,555.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6-12 months,76.0
3910,38889144,2017-10-01,within an hour,90-99%,0,162,0,Ancoats and Clayton,Apartment,Entire home/apt,7,2.0,2.0,4.0,95,$200.00,55,4,10,1,1125,70,10,2019-11-08,80-94/100,9/10,9/10,0-8/10,9/10,0-8/10,0-8/10,1,strict_14_with_grace_period,555.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0-6 months,76.0
3911,38890770,2017-12-05,within a few hours,100%,0,3,0,Ancoats and Clayton,Apartment,Entire home/apt,4,1.0,2.0,2.0,60,,32,1,0,1,1125,22,12,2019-10-14,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,490.0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6-12 months,43.0
3912,38892045,2014-08-19,within an hour,100%,1,10,0,Moss Side,House,Private room,2,1.0,1.0,1.0,29,$100.00,7,1,0,1,90,63,3,2019-10-25,80-94/100,10/10,9/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,1694.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0-6 months,48.0
3913,38894122,2014-08-19,within an hour,100%,1,10,0,Moss Side,House,Private room,2,1.0,1.0,1.0,28,$100.00,7,1,0,1,90,67,7,2019-10-05,80-94/100,9/10,9/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,1694.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6-12 months,92.0
3914,38895203,2014-08-19,within an hour,100%,1,10,0,Moss Side,House,Private room,2,1.0,1.0,1.0,28,$100.00,7,1,0,1,90,72,5,2019-10-10,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,1694.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6-12 months,107.0
3915,38895483,2014-08-19,within an hour,100%,1,10,0,Moss Side,House,Private room,2,1.0,1.0,1.0,19,$100.00,7,1,0,1,90,41,11,2019-10-14,95-100/100,10/10,9/10,10/10,10/10,9/10,10/10,0,strict_14_with_grace_period,1694.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6-12 months,48.0
3916,38898158,2013-04-15,within an hour,100%,1,1,1,Miles Platting and Newton Heath,House,Private room,2,2.0,1.0,1.0,35,,0,1,0,1,1125,72,14,2019-10-19,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,flexible,2185.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6-12 months,43.0
