,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,host_verified,id,is_business_travel_ready,is_new_listing,is_super_host,listing_url,reviews_scores_location,max_nights,min_nights,monthly_price_factor,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,member_since,paikkakunnat
21,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,38771885,0,0,0,https://www.airbnb.com/api/v2/pdp_listing_details/38771885?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,1125,1,0.8,3,8,81,1.0,50-89%,unknown,42.0,80-94/100,25,Entire home/apt,3.6-4.4/5.0,9/10,42.0,0.9,5,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2019-07-01,Punavuori
22,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,38,9/10,10/10,0,40033351,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/40033351?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,1125,2,0.0,4,19,122,37.0,90-99%,unknown,42.0,80-94/100,13,Entire home/apt,4.5-5.0/5.0,9/10,42.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2019-11-01,Kamppi
23,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,42684617,0,0,0,https://www.airbnb.com/api/v2/pdp_listing_details/42684617?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,1125,1,0.85,2,18,46,1.0,100%,unknown,42.0,80-94/100,4,Entire home/apt,4.5-5.0/5.0,9/10,42.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2016-03-01,Harju
24,10/10,1.0,1.0,0.0,nan,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,0,42596142,0,1,0,https://www.airbnb.com/api/v2/pdp_listing_details/42596142?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,1125,1,1.0,1,6,26,1.0,0-49%,unknown,42.0,80-94/100,2,Private room,nan,9/10,42.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,Kontula
25,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,41758970,0,0,0,https://www.airbnb.com/api/v2/pdp_listing_details/41758970?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,1125,1,1.0,4,13,93,1.0,50-89%,within an hour,42.0,80-94/100,3,Entire home/apt,3.6-4.4/5.0,9/10,42.0,1.0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-07-01,Kamppi
26,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,43,9/10,10/10,0,24045106,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/24045106?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,1124,1,0.85,4,11,116,37.0,100%,within an hour,42.0,80-94/100,22,Entire home/apt,4.5-5.0/5.0,9/10,42.0,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2014-06-01,Kluuvi
27,10/10,1.0,1.0,0.0,4.5-5.0/5.0,0.5,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,15,9/10,10/10,0,18521789,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/18521789?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,120,1,0.72,2,13,58,1.0,100%,within an hour,42.0,80-94/100,105,Private room,4.5-5.0/5.0,9/10,42.0,0.96,15,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2013-04-01,Alppila
28,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,3.0,0,CANCEL_MODERATE,9/10,Helsinki,22,9/10,10/10,0,33890366,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/33890366?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,1125,1,0.0,4,9,109,35.0,100%,within a few hours,42.0,80-94/100,130,Entire home/apt,4.5-5.0/5.0,9/10,42.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2012-06-01,Etu-Töölö
29,10/10,1.0,1.0,0.0,nan,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,0,43064194,0,1,0,https://www.airbnb.com/api/v2/pdp_listing_details/43064194?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,60,1,0.55,2,4,46,47.0,100%,within an hour,42.0,80-94/100,0,Private room,nan,9/10,42.0,0.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2018-12-01,Etu-Töölö
30,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,0,36196446,0,0,0,https://www.airbnb.com/api/v2/pdp_listing_details/36196446?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10/10,1125,1,0.0,2,9,41,1.0,100%,within an hour,42.0,80-94/100,27,Private room,4.5-5.0/5.0,9/10,42.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2019-06-01,Myllypuro
